prices,address,zip code,beds,baths,sqft,type
649000, 83 NE Citadel Ridge Clos NW Calgary AB T3G 4V6 ,T3G,5,4,2085,House
639900, 787 S New Brighton Dr SE Calgary AB T2Z 1A1 ,T2Z,2,3,1233,House
635000, 11 W Evanscrest Way NW Calgary AB T3P 0R4 ,T3P,4,4,1534,House
625000, 196 N Royal Birch Cir NW Calgary AB T3G 5L4 ,T3G,3,4,1611,House
615000, 244 E Sandalwood Pl NW Calgary AB T3K 4B3 ,T3K,5,3,1935,House
600000, 3828 N Brantford Dr NW Calgary AB T2L 1H9 ,T2L,4,2,1468,House
599999, 2645 S 21st St SW Calgary AB T2T 5A9 ,T2T,4,2,992,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 4 W Saddlecrest Grn NE Calgary AB T3J 5N5 ,T3J,3,3,1660,House
599900, 8 SW Schooner Clos NW Calgary AB T3L 1Y7 ,T3L,4,3,2017,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
599900, 114 S Cornerbrook Mnr NE Calgary AB T3N 1V3 ,T3N,3,3,1821,House
